type,problem,answer,time
d,1246,77,65256
d,1247,78,65031
d,1248,78,67373
d,1249,79,67021
d,1250,77,67124
d,1251,77,66268
d,1252,77,70539
d,1253,78,68677
d,1254,78,67036
d,1255,79,69177
d,1256,73,66378
d,1257,78,67241
d,1258,76,67310
d,1259,77,66874
d,1260,77,66227
d,1261,78,64132
d,1262,78,67287
d,1263,78,66000
d,1264,79,66551
d,1265,77,69600
d,1266,77,66115
d,1267,78,69033
d,1268,78,64706
d,1269,78,66166
d,1270,79,67364
d,1271,79,68229
d,1272,78,64730
d,1273,78,66065
d,1274,78,65355
d,1275,77,70731
d,1276,78,66391
d,1277,78,67965
d,1278,79,68871
d,1279,79,70202
d,1280,77,62721
d,1281,77,62682
d,1282,78,62592
d,1283,78,62574
d,1284,79,62724
d,1285,79,63410
d,1286,79,63055
d,1287,78,62981
d,1288,78,66239
d,1289,78,63253
d,1290,79,63734
d,1291,79,66409
d,1292,78,63723
d,1293,79,63698
d,1294,79,64158
d,1295,77,63751
d,1296,78,66819
d,1297,78,65807
d,1298,78,64165
d,1299,79,64051
d,1300,79,69442
d,1301,80,63789
d,1302,81,63886
d,1303,82,76003
d,1304,83,78033
d,1305,84,67112
d,1306,85,67702
d,1307,86,69977
d,1308,87,67790
d,1309,88,67561
d,1310,89,72470
d,1311,90,71693
d,1312,78,81401
d,1313,79,91538
d,1314,87,92679
d,1315,88,88100
d,1316,89,93446
d,1317,90,79510
d,1318,81,75484
d,1319,82,70741
d,1320,83,69487
d,1321,88,92619
d,1322,89,86021
d,1323,90,85612
d,1324,87,83552
d,1325,88,75140
d,1326,89,71876
d,1327,90,72758
d,1328,89,81280
d,1329,90,81722
d,1330,87,76067
d,1331,88,75886
d,1332,89,72252
d,1333,90,69868
d,1334,91,86880
d,1335,82,75620
d,1336,83,85521
d,1337,88,93590
d,1338,81,93347
d,1339,82,114084
d,1340,83,81440
d,1341,88,77016
d,1342,89,75744
d,1343,90,76642
d,1344,87,78367
d,1345,88,75727
d,1346,89,72122
d,1347,88,74747
d,1348,89,91510
d,1349,90,96304
d,1350,91,115276
d,1351,88,108464
d,1352,89,103628
d,1353,81,85704
d,1354,82,96076
d,1355,82,91111
d,1356,83,84325
d,1357,84,88318
d,1358,89,93858
d,1359,87,109909
d,1360,88,106485
d,1361,88,105720
d,1362,89,81595
d,1363,90,70184
d,1364,89,68161
d,1365,90,70178
d,1366,88,76151
d,1367,88,78357
d,1368,89,69794
d,1369,90,69109
d,1370,82,69710
d,1371,83,69251
d,1372,83,69778
d,1373,89,69372
d,1374,89,68021
d,1375,82,68339
d,1376,88,71928
d,1377,89,68694
d,1378,89,68127
d,1379,90,68510
d,1380,90,67423
d,1381,88,68419
d,1382,88,68917
d,1383,89,70134
d,1384,89,68810
d,1385,90,69567
d,1386,91,76391
d,1387,83,73273
d,1388,89,74009
d,1389,89,72456
d,1390,82,69595
d,1391,83,72654
d,1392,83,71274
d,1393,89,68387
d,1394,90,68824
d,1395,90,69076
d,1396,88,69522
d,1397,89,69387
d,1398,89,69326
d,1399,89,69195
d,1400,90,69002
d,1401,90,69452
d,1402,91,71013
d,1403,89,91293
d,1404,89,81468
d,1405,82,74926
d,1406,83,73819
d,1407,83,75048
d,1408,84,76253
d,1409,84,73241
d,1410,90,75063
d,1411,88,74157
d,1412,89,79346
d,1413,89,72936
d,1414,90,76411
d,1415,90,75781
d,1416,90,76087
d,1417,91,76369
d,1418,89,76302
d,1419,89,74126
d,1420,90,72692
d,1421,90,75317
d,1422,83,74049
d,1423,84,74398
d,1424,84,75573
d,1425,90,76623
d,1426,90,76339
d,1427,83,76039
d,1428,89,74613
d,1429,90,74969
d,1430,90,74841
d,1431,91,75694
d,1432,91,73341
d,1433,89,77173
d,1434,89,76933
d,1435,90,74798
d,1436,90,73886
d,1437,91,77039
d,1438,91,73540
d,1439,84,76365
d,1440,90,78319
d,1441,90,75733
d,1442,83,77486
d,1443,84,76940
d,1444,84,75402
d,1445,90,74849
d,1446,91,76670
d,1447,91,77369
d,1448,89,76813
d,1449,90,91590
d,1450,90,76621
d,1451,90,75777
d,1452,91,76113
d,1453,91,79793
d,1454,92,79493
d,1455,93,80111
d,1456,94,80793
d,1457,95,78921
d,1458,96,74830
d,1459,84,74805
d,1460,85,75543
d,1461,93,76806
d,1462,94,77257
d,1463,95,77850
d,1464,96,82332
d,1465,90,79479
d,1466,91,78060
d,1467,91,78588
d,1468,94,77032
d,1469,95,75271
d,1470,96,72095
d,1471,93,75009
d,1472,94,71880
d,1473,95,71904
d,1474,96,72219
d,1475,95,75977
d,1476,96,73375
d,1477,93,79327
d,1478,94,80102
d,1479,95,76817
d,1480,96,74860
d,1481,97,76600
d,1482,96,77335
d,1483,97,73698
d,1484,94,73942
d,1485,95,73348
d,1486,96,73636
d,1487,97,74512
d,1488,94,73081
d,1489,95,72755
d,1490,96,73345
d,1491,93,72896
d,1492,94,73145
d,1493,95,73767
d,1494,94,73628
d,1495,95,73686
