type,problem,answer,time
d,1121,69,67640
d,1122,70,57830
d,1123,71,68380
d,1124,72,58730
d,1125,71,70720
d,1126,72,53280
d,1127,69,43390
d,1128,70,43480
d,1129,71,56720
d,1130,72,64660
d,1131,73,57830
d,1132,72,59750
d,1133,73,70060
d,1134,70,67270
d,1135,71,64830
d,1136,72,62860
d,1137,73,63960
d,1138,70,58990
d,1139,71,87060
d,1140,72,80320
d,1141,69,62490
d,1142,70,63890
d,1143,71,77740
d,1144,70,69950
d,1145,71,86100
d,1146,72,75020
d,1147,73,66530
d,1148,70,60740
d,1149,71,113900
d,1150,70,81110
d,1151,71,89410
d,1152,72,108560
d,1153,73,90440
d,1154,74,79340
d,1155,75,86800
d,1156,69,67560
d,1157,70,82690
d,1158,70,85800
d,1159,71,76980
d,1160,72,64000
d,1161,75,73580
d,1162,76,77620
d,1163,70,92570
d,1164,70,68040
d,1165,71,62510
d,1166,72,67920
d,1167,71,61590
d,1168,76,69560
d,1169,77,68330
d,1170,71,63080
d,1171,75,64580
d,1172,76,63760
d,1173,70,70070
d,1174,71,65350
d,1175,77,60340
d,1176,78,60480
d,1177,75,62720
d,1178,76,65290
d,1179,70,55390
d,1180,71,56400
d,1181,71,62280
d,1182,72,62930
d,1183,73,65620
d,1184,76,64390
d,1185,77,64690
d,1186,71,56540
d,1187,71,58830
d,1188,76,65860
d,1189,77,47690
d,1190,71,52330
d,1191,75,66190
d,1192,76,60990
d,1193,70,55320
d,1194,76,60910
d,1195,77,46450
d,1196,71,46200
d,1197,72,87650
d,1198,76,63010
d,1199,77,66510
d,1200,76,89330
d,1201,77,66240
d,1202,71,68280
d,1203,72,77360
d,1204,72,68570
d,1205,77,85580
d,1206,75,86390
d,1207,76,98180
d,1208,76,69040
d,1209,77,89340
d,1210,71,65580
d,1211,77,68010
d,1212,78,64000
d,1213,76,74280
d,1214,76,68190
d,1215,77,61750
d,1216,71,67920
d,1217,77,66150
d,1218,78,64410
d,1219,72,64320
d,1220,77,52430
d,1221,77,47290
d,1222,78,47170
d,1223,76,64880
d,1224,77,75520
d,1225,77,70120
d,1226,78,69410
